hostname,owner,criticality,tags
bigdata75,Charmian,High,WebTeam
antivirus45,Shelly,Critical,WebTeam
dns40,Odella,Medium,Public
edtech82,Celestine,Critical,Public
govtech85,Gusta,Medium,Finance
encryption47,Flor,Critical,Linux
artificialintelligence77,Charissa,Medium,Finance
kanban67,Roselia,Critical,HR
incremental70,Petrina,High,WebTeam
backupserver6,Gabbie,Critical,DMZ
node11,Ronni,Medium,HR
scaling55,Jermayne,Critical,DMZ
dns40,Dinah,High,WebTeam
cloudserver5,Tiffy,Critical,HR
webserver13,Cleo,Critical,Windows
lean66,Griffin,High,DMZ
backup51,Denise,Critical,Database
artificialintelligence77,Constancia,Critical,Windows
scaling55,Clari,Critical,Linux
backupserver6,Carline,Medium,Windows
scaling55,Dorry,Critical,Public
backup51,Burnaby,Medium,DMZ
backupserver6,Rena,Medium,Database
backup31,Frasier,High,Database
cloudserver5,Gertrud,High,Finance
incremental70,Bel,Medium,Linux
antivirus45,Matteo,Critical,Public
microservices61,Rebekah,Medium,Linux
agile65,Kellsie,Medium,DMZ
devmachine7,Jacquie,Medium,WebTeam
ecommerce99,Sebastien,High,DMZ
alerting56,Diana,Critical,HR
devops62,Imelda,Critical,Windows
workstation3,Rebekah,High,Linux
gateway15,Doyle,High,WebTeam
gateway15,Stephannie,High,DMZ
govtech85,Natalya,Critical,HR
transportation96,Junette,Critical,Windows
webapp33,Lucinda,Medium,Finance
sportstech90,Jarvis,Critical,Linux
containerization58,Lorine,Critical,Finance
insurtech80,Marion,High,Linux
blockchain79,Dena,Critical,DMZ
backup51,Vincent,Critical,Public
monitoring54,Hedda,Critical,DMZ
webserver13,Ursulina,Critical,Database
spiral68,Waite,Medium,WebTeam
testserver4,Felice,Medium,Database
restore50,Flint,Medium,Linux
blockchain79,Chrissie,Critical,WebTeam
vpn43,Joyce,Medium,Public
host10,Elliott,Critical,Database
analytics35,Tommi,Critical,Linux
legaltech84,Kelsey,High,Windows
vmodel72,Chery,High,Finance
vpn43,Enrika,High,WebTeam
kanban67,Dede,Critical,Database
cdn41,Mohammed,Medium,Finance
workstation3,Hanny,Medium,Linux
devops62,Base,Critical,Windows
edtech82,Devinne,Medium,Linux
agile65,Hussein,High,HR
ecommerce99,Dona,Medium,WebTeam
prototype73,Brooke,Critical,Public
analytics35,Gilles,Critical,Database
pharmatech95,Ferrell,Medium,Database
rad71,Rosetta,Medium,Windows
logistics97,Philippe,Medium,Finance
dockerhost17,Corie,Medium,DMZ
dockerhost17,Laverne,High,WebTeam
iotdevice23,Obidiah,Critical,WebTeam
testserver4,Octavia,Critical,HR
authentication39,Lockwood,Medium,DMZ
mainframe21,Annmarie,Critical,Database
sandbox12,Aridatha,Critical,Linux
sandbox12,Kliment,Critical,Windows
cleantech88,Bob,Medium,Linux
restore50,Charlean,High,WebTeam
logistics97,Jilly,High,WebTeam
scaling55,Darell,Critical,DMZ
backupserver6,Astrix,Critical,Windows
iot76,Alikee,High,Public
edgecomputing22,Herb,High,Linux
dns40,Lexine,Critical,Linux
proxyserver19,Johnnie,Medium,Windows
biotech92,Shawnee,Medium,Windows
firewall18,Maritsa,High,Public
webapp33,Jean,Medium,Finance
scrum64,Denys,Medium,Public
encryption47,Linette,Medium,DMZ
devmachine7,Neile,High,Database
mainframe21,Coral,High,DMZ
logging27,Sella,Medium,HR
microservices61,Viviyan,Critical,HR
cloudnative63,Sansone,Medium,Database
database29,Tildi,High,Windows
fintech81,Tarah,Critical,HR
kubernetes16,Chrisse,Medium,DMZ
bigdata75,Donella,Medium,Linux
sandbox12,Melicent,Critical,Finance
restore50,Ferguson,Medium,WebTeam
spiral68,Trudey,Critical,Public
analytics35,Erek,Medium,Linux
monitoring54,Carolann,Critical,Linux
edgecomputing22,Germain,Critical,DMZ
sportstech90,Loralee,Medium,DMZ
scaling55,Shermie,Critical,Database
legaltech84,Hugibert,High,WebTeam
cluster9,Georgina,Medium,Windows
database29,Alisun,Critical,Linux
backup31,Derby,Medium,Linux
alerting56,Ingar,Medium,Public
insurtech80,Rubetta,High,Finance
orchestration59,Hanny,High,Public
testserver4,Millie,Medium,Finance
orchestration59,Giovanni,Medium,DMZ
sportstech90,Edgardo,High,HR
datacenter2,Norry,Medium,Finance
backup51,Luis,High,HR
backupserver6,Alon,Critical,Database
healthtech83,Rozella,High,Windows
decryption46,Zed,High,WebTeam
webapp33,Stephen,High,DMZ
intrusiondetection42,Ben,Critical,HR
host10,Gerrie,Critical,Linux
dockerhost17,Diane-marie,Critical,WebTeam
dockerhost17,Colin,Medium,Windows
sandbox12,Sherry,Medium,Linux
backup31,Leanora,High,Finance
firewall18,Tabatha,High,Database
mobileapp32,Dilly,Medium,DMZ
martech87,Yvon,High,WebTeam
devops62,Alden,High,Public
kanban67,Wendeline,Critical,DMZ
iot76,Padgett,Medium,Public
intrusiondetection42,Aharon,Critical,Finance
serverless60,Wilmer,Critical,WebTeam
intrusiondetection42,Manny,High,DMZ
kubernetes16,Elsy,Medium,Database
cleantech88,Vonnie,High,Database
mainframe21,Retha,Critical,Database
martech87,Rudolph,Critical,Finance
agile65,Haroun,Critical,WebTeam
iotdevice23,Harmonie,Medium,Windows
production1,Ilario,Medium,DMZ
testserver4,Garnette,High,Public
lean66,Albrecht,High,Database
dashboard37,Margarita,Critical,HR
dashboard37,Loleta,Medium,Windows
backup31,Sayre,Critical,Finance
logistics97,Roldan,High,DMZ
edgecomputing22,Lorine,Critical,DMZ
proxyserver19,Marina,Medium,Windows
sandbox12,Nathan,High,Linux
agritech89,Arabele,High,DMZ
logistics97,Konstanze,Critical,Public
artificialintelligence77,Arnold,High,Database
proptech91,Emlynne,Medium,Linux
node11,Daisi,Medium,Windows
monitoring54,Merci,High,Public
backup31,John,Medium,Finance
authentication39,Aksel,High,Database
server1,Aleksandr,Critical,WebTeam
devmachine7,Dix,Medium,Database
orchestration59,Elmo,Medium,DMZ
loadbalancer20,Wakefield,Critical,Windows
automation30,Roscoe,Medium,Linux
proxyserver19,Amelita,Critical,Windows
kubernetes16,Carney,High,Linux
edgecomputing22,Wanids,Critical,HR
mobileapp32,Sadye,Medium,DMZ
router25,Lawton,Critical,HR
compression49,Bianka,Critical,Windows
production1,Milena,Medium,Windows
cdn41,Ashlee,Critical,Windows
logging27,Ed,Critical,Database
webapp33,Brietta,Medium,HR
cloudnative63,Desiree,High,Database
marketplace98,Nananne,High,Windows
ecommerce99,Oliver,Critical,HR
production1,Cathlene,High,DMZ
decryption46,Mirabel,Medium,DMZ
virtualmachine8,Adara,Medium,HR
backup51,Elfreda,High,DMZ
edgecomputing22,Katy,High,Linux
dns40,Benson,High,HR
decryption46,Valli,High,Public
host10,Rodie,High,Linux
cloudnative63,Gabriell,Medium,DMZ
scaling55,Olivero,Critical,Finance
backupserver6,Jonie,Critical,Finance
agile65,Elnore,Critical,DMZ
decompression48,Abram,High,HR
switch24,Horton,Medium,Windows
firewall44,Annadiane,Medium,Public
backup31,Nertie,Critical,DMZ
scrum64,Bernardo,Critical,Finance
antivirus45,Celle,High,Database
firewall18,Ulick,Medium,DMZ
prototype73,Blinni,High,Finance
